Date,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Value
01/01/2008,Level 1,99999,All Branches,Pieces,2524
02/01/2008,Level 1,99999,All Branches,Pieces,4232
03/01/2008,Level 1,99999,All Branches,Pieces,4376
04/01/2008,Level 1,99999,All Branches,Pieces,2919
05/01/2008,Level 1,99999,All Branches,Pieces,2917
06/01/2008,Level 1,99999,All Branches,Pieces,3207
07/01/2008,Level 1,99999,All Branches,Pieces,3319
08/01/2008,Level 1,99999,All Branches,Pieces,2197
09/01/2008,Level 1,99999,All Branches,Pieces,2458
10/01/2008,Level 1,99999,All Branches,Pieces,3093
11/01/2008,Level 1,99999,All Branches,Pieces,2086
12/01/2008,Level 1,99999,All Branches,Pieces,3452
13/01/2008,Level 1,99999,All Branches,Pieces,3893
14/01/2008,Level 1,99999,All Branches,Pieces,3549
15/01/2008,Level 1,99999,All Branches,Pieces,2733
16/01/2008,Level 1,99999,All Branches,Pieces,1959
17/01/2008,Level 1,99999,All Branches,Pieces,4271
18/01/2008,Level 1,99999,All Branches,Pieces,3783
19/01/2008,Level 1,99999,All Branches,Pieces,2566
20/01/2008,Level 1,99999,All Branches,Pieces,1568
21/01/2008,Level 1,99999,All Branches,Pieces,1478
22/01/2008,Level 1,99999,All Branches,Pieces,4274
23/01/2008,Level 1,99999,All Branches,Pieces,5000
24/01/2008,Level 1,99999,All Branches,Pieces,2238
25/01/2008,Level 1,99999,All Branches,Pieces,3996
26/01/2008,Level 1,99999,All Branches,Pieces,3035
27/01/2008,Level 1,99999,All Branches,Pieces,2084
28/01/2008,Level 1,99999,All Branches,Pieces,2060
29/01/2008,Level 1,99999,All Branches,Pieces,3676
30/01/2008,Level 1,99999,All Branches,Pieces,2757
31/01/2008,Level 1,99999,All Branches,Pieces,3975
01/02/2008,Level 1,AA,All Branches,Pieces,1041
02/02/2008,Level 1,AA,All Branches,Pieces,3803
03/02/2008,Level 1,AA,All Branches,Pieces,1681
04/02/2008,Level 1,AA,All Branches,Pieces,4318
05/02/2008,Level 1,AA,All Branches,Pieces,3800
06/02/2008,Level 1,AA,All Branches,Pieces,4169
07/02/2008,Level 1,AA,All Branches,Pieces,1241
08/02/2008,Level 1,AA,All Branches,Pieces,2564
09/02/2008,Level 1,AA,All Branches,Pieces,2655
10/02/2008,Level 1,AA,All Branches,Pieces,1443
11/02/2008,Level 1,AA,All Branches,Pieces,4758
12/02/2008,Level 1,AA,All Branches,Pieces,3239
13/02/2008,Level 1,AA,All Branches,Pieces,3010
14/02/2008,Level 1,AA,All Branches,Pieces,2164
15/02/2008,Level 1,AA,All Branches,Pieces,2583
16/02/2008,Level 1,AA,All Branches,Pieces,1811
17/02/2008,Level 1,AA,All Branches,Pieces,4874
18/02/2008,Level 1,AA,All Branches,Pieces,2217
19/02/2008,Level 1,AA,All Branches,Pieces,1987
20/02/2008,Level 1,AA,All Branches,Pieces,4640
21/02/2008,Level 1,AA,All Branches,Pieces,2014
22/02/2008,Level 1,AA,All Branches,Pieces,4543
